"","Tipo","Literal","CCAA","Provincia","Municipio","Encuestadora.Medio","Fuente","Muestra","Trabajo.Campo","Último.día","Particip","Lead","Ganador","Ventaja","BNG","CC.NCa","CpM","Cs","CUP","EC","ECP","EH.Bildu","ERC.Sobiranistes","EV","Junts","JxCat","Más.País","Més.Compromís","NA.","PACMA","PDeCAT","PNV","PP","PRC","PSC","PSdeG.PSOE","PSOE","Somos.Región","TE","Unidas.Podemos","Vox"
"15","Generales","Cataluña","Cat.","-","-","Ágora Integral/Canarias Ahora","https://www.electograph.com/2022/05/andalucia-catalunya-madrid-canarias-agora-220512.html","400","5–9 May 2022","2022-05-09","-","0.5","PP","PP +0.5",NA,13,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,25.4,NA,NA,NA,24.9,NA,NA,14,16.8
"16","Generales","Galicia","Gal.","-","-","Ágora Integral/Canarias Ahora","https://www.electograph.com/2022/05/andalucia-catalunya-madrid-canarias-agora-220512.html","500","5–9 May 2022","2022-05-09","-","4.7","ERC–Sobiranistes","ERC–Sobiranistes +4.7",NA,NA,NA,4.1,6.5,NA,14.1,NA,24.1,NA,13.2,NA,1.2,NA,NA,NA,NA,NA,8.7,NA,19.4,NA,NA,NA,NA,NA,7.1
"17","Generales","Murcia, Región de","Mur.","-","-","Ágora Integral/Canarias Ahora","https://www.electograph.com/2022/05/andalucia-catalunya-madrid-canarias-agora-220512.html","500","5–9 May 2022","2022-05-09","-","7.5","PP","PP +7.5",NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,30.2,NA,NA,NA,22.7,NA,NA,13.8,22.6
"18","Generales","España","Esp.","-","-","IMOP/El Confidencial","https://www.elconfidencial.com/espana/observatorio-electoral/2022-05-11/derecha-amplia-diez-puntos-ventaja-izquierda_3422195/","1303","25 Apr–8 May 2022","2022-05-08","-","0.1","PP","PP +0.1",0.9,0.3,NA,1.9,0.9,NA,NA,1.2,2.9,0.1,NA,1.8,1.9,NA,0.2,NA,NA,1.6,26.4,0.2,NA,NA,26.3,NA,NA,10.6,19.8
"19","Generales","España","Esp.","-","-","SocioMétrica/El Español","https://www.elespanol.com/espana/politica/20220509/feijoo-recorta-puntos-pp-ganaria-elecciones-psoe/670933042_0.html","1200","4–7 May 2022","2022-05-07","-","0.3","PSOE","PSOE +0.3",0.7,0.5,NA,2.7,0.9,NA,NA,1.2,3,1.2,NA,1.9,3,NA,0.4,NA,NA,1.6,25,0.1,NA,NA,25.3,NA,NA,11.3,19.1
"20","Generales","España","Esp.","-","-","Data10/OKDiario","https://okdiario.com/espana/feijoo-da-sorpasso-sanchez-abascal-esta-3-escanos-del-psoe-pp-suma-mayoria-vox-186-9035635","1000","5–6 May 2022","2022-05-06","-","0.2","PP","PP +0.2",0.8,0.5,NA,2.2,0.9,NA,NA,1.2,3.2,0.1,NA,2.2,3,NA,0.4,NA,NA,1.6,24.1,0.2,NA,NA,23.9,NA,NA,11.2,22.4
"21","Generales","España","Esp.","-","-","ElectoPanel/Electomanía","https://electomania.es/ep8my22/","1352","29 Apr–6 May 2022","2022-05-06","-","1.7","PSOE","PSOE +1.7",0.9,0.7,NA,2.8,1,NA,NA,1.4,2.9,0.4,NA,2.3,2.4,NA,0.4,NA,NA,1.5,22,0.2,NA,NA,24.5,NA,NA,12.3,22.8
"22","Generales","España","Esp.","-","-","ElectoPanel/Electomanía","https://electomania.es/ep1my22","3013","22–29 Apr 2022","2022-04-29","-","1.7","PSOE","PSOE +1.7",0.9,0.5,NA,2.7,1,NA,NA,1.4,3,0.4,NA,2.3,2.5,NA,0.4,NA,NA,1.6,21.8,0.2,NA,NA,24.6,NA,NA,12.2,22.9
"23","Generales","Valladolid","Cyl.","Valladolid","-","SyM Consulting/EPDA","https://www.electograph.com/2022/05/valencia-congreso-encuesta-sym-consulting-220506.html","795","24–26 Apr 2022","2022-04-26","70.7","0.9","PP","PP +0.9",NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,25.4,NA,NA,NA,24.5,NA,NA,13.4,22.5
"24","Generales","España","Esp.","-","-","40dB/Prisa","https://elpais.com/espana/2022-05-04/el-pp-de-feijoo-frena-el-ascenso-de-vox-y-alcanza-al-psoe.html","2000","20–25 Apr 2022","2022-04-25","-","0.4","PSOE","PSOE +0.4",NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,25.8,NA,NA,NA,26.2,NA,NA,10.2,18.1
